Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Answer
"What is the capital of France?","London","Berlin","Paris","Madrid","Paris"
"What is 2 + 2?","3","4","5","6","4"
"Which planet is closest to the Sun?","Venus","Mars","Mercury","Earth","Mercury"
"Who painted the Mona Lisa?","Vincent van Gogh","Leonardo da Vinci","Pablo Picasso","Michelangelo","Leonardo da Vinci"
"What is the largest ocean on Earth?","Atlantic Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean","Pacific Ocean"
"How many sides does a hexagon have?","5","6","7","8","6"
"What is the chemical symbol for water?","H2O","CO2","O2","N2","H2O"
"In what year did the Titanic sink?","1910","1911","1912","1913","1912"
"What is the square root of 144?","10","11","12","13","12"
"Which country is known as the Land of the Rising Sun?","China","South Korea","Japan","Thailand","Japan"
